0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"K. Thomas, .W. Szczerbiak, .E. Watson, .J. Petro, .J. Green",SEA,1,2.1,2.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-1.0,11-13-2007
"W. Szczerbiak, .C. Wilcox, .N. Collison, .D. West, .K. Durant",SEA,1,2.1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,11-13-2007
"K. Thomas, .E. Watson, .D. West, .D. Wilkins, .J. Green",SEA,1,1.7,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.0,11-13-2007
"W. Szczerbiak, .C. Wilcox, .N. Collison, .L. Ridnour, .K. Durant",SEA,1,1.2,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,11-13-2007
"W. Szczerbiak, .C. Wilcox, .L. Ridnour, .D. West, .J. Green",SEA,1,1.1,3.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,11-13-2007
"E. Watson, .C. Wilcox, .D. West, .D. Wilkins, .J. Green",SEA,1,0.3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,11-13-2007
"E. Watson, .C. Wilcox, .N. Collison, .D. West, .J. Green",SEA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"K. Thomas, .E. Watson, .C. Wilcox, .K. Durant, .J. Green",SEA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"K. Thomas, .E. Watson, .C. Wilcox, .N. Collison, .J. Green",SEA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"K. Thomas, .L. Ridnour, .D. West, .D. Wilkins, .J. Green",SEA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
