,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
9,".R. Davis, .E. Barron, .K. Powell, .J. Anthony, .B. Ahearn ",1,1.7,4.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,-2.0,MIA,Apr 11 2008
10,".E. Barron, .K. Powell, .D. Cook, .J. Anthony, .B. Ahearn ",1,1.5,2.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,MIA,Apr 11 2008
11,".M. Blount, .C. Quinn, .D. Cook, .S. Lasme, .B. Ahearn ",1,1.2,3.0,1.0,2.0,50.0,1.0,1.0,100,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,MIA,Apr 11 2008
12,".M. Blount, .K. Powell, .C. Quinn, .D. Cook, .S. Lasme ",1,1.2,6.0,2.0,2.0,100,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,MIA,Apr 11 2008
13,".J. Williams, .R. Davis, .E. Barron, .D. Cook, .S. Lasme ",1,1.1,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,Apr 11 2008
14,".E. Barron, .K. Powell, .C. Quinn, .D. Cook, .J. Anthony ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,Apr 11 2008
15,".M. Blount, .E. Barron, .D. Cook, .J. Anthony, .B. Ahearn ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,Apr 11 2008
16,".M. Blount, .E. Barron, .D. Cook, .S. Lasme, .B. Ahearn ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,Apr 11 2008
17,".M. Blount, .E. Barron, .K. Powell, .C. Quinn, .D. Cook ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,Apr 11 2008
18,".M. Blount, .R. Davis, .E. Barron, .C. Quinn, .D. Cook ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,Apr 11 2008
19,".M. Blount, .R. Davis, .E. Barron, .C. Quinn, .S. Lasme ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,Apr 11 2008
