,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
11,".J. Howard, .A. Miller, .R. Fernandez, .N. Batum, .D. Cunningham ",1,2.3,3.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,POR,Feb 21 2010
12,".J. Howard, .M. Camby, .A. Miller, .B. Roy, .N. Batum ",1,2.1,4.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,POR,Feb 21 2010
13,".M. Camby, .A. Miller, .L. Aldridge, .R. Fernandez, .N. Batum ",1,1.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,-1.0,POR,Feb 21 2010
14,".J. Howard, .L. Aldridge, .B. Roy, .J. Bayless, .N. Batum ",1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,POR,Feb 21 2010
15,".J. Howard, .M. Camby, .R. Fernandez, .J. Bayless, .N. Batum ",1,0.7,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,POR,Feb 21 2010
16,".M. Camby, .A. Miller, .L. Aldridge, .B. Roy, .R. Fernandez ",1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-3.0,POR,Feb 21 2010
17,".J. Howard, .M. Camby, .M. Webster, .B. Roy, .R. Fernandez ",1,0.2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,POR,Feb 21 2010
18,".J. Howard, .M. Camby, .A. Miller, .M. Webster, .B. Roy ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POR,Feb 21 2010
19,".J. Howard, .M. Camby, .B. Roy, .R. Fernandez, .N. Batum ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,POR,Feb 21 2010
20,".M. Camby, .A. Miller, .B. Roy, .R. Fernandez, .N. Batum ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POR,Feb 21 2010
0,".S. Blake, .M. Webster, .L. Aldridge, .B. Roy, .G. Oden ",1,6.3,11.0,5.0,10.0,50.0,0.0,2.0,0.0,1.0,1.0,100,2.0,3.0,5.0,2.0,2.0,2.0,1.0,0.0,5.0,2.0,0.0,POR,Oct 27 2009
1,".A. Miller, .J. Przybilla, .T. Outlaw, .B. Roy, .R. Fernandez ",1,5.6,9.0,3.0,12.0,25.0,1.0,5.0,20.0,2.0,3.0,66.7,3.0,6.0,9.0,2.0,3.0,0.0,1.0,1.0,3.0,5.0,-3.0,POR,Oct 27 2009
2,".T. Outlaw, .S. Blake, .M. Webster, .B. Roy, .G. Oden ",1,5.3,9.0,4.0,8.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,6.0,7.0,4.0,4.0,0.0,1.0,1.0,2.0,3.0,3.0,POR,Oct 27 2009
3,".A. Miller, .M. Webster, .L. Aldridge, .G. Oden, .R. Fernandez ",1,4.1,9.0,4.0,5.0,80.0,1.0,1.0,100,0.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,POR,Oct 27 2009
4,".T. Outlaw, .S. Blake, .L. Aldridge, .B. Roy, .G. Oden ",1,3.8,10.0,3.0,6.0,50.0,1.0,1.0,100,3.0,4.0,75.0,2.0,2.0,4.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,POR,Oct 27 2009
5,".A. Miller, .J. Przybilla, .T. Outlaw, .M. Webster, .R. Fernandez ",1,3.0,9.0,3.0,4.0,75.0,1.0,1.0,100,2.0,2.0,100,1.0,5.0,6.0,2.0,4.0,2.0,1.0,0.0,3.0,1.0,9.0,POR,Oct 27 2009
6,".A. Miller, .T. Outlaw, .S. Blake, .L. Aldridge, .B. Roy ",1,2.7,6.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0,6.0,100,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,-2.0,POR,Oct 27 2009
7,".A. Miller, .J. Przybilla, .M. Webster, .L. Aldridge, .R. Fernandez ",1,2.6,7.0,1.0,3.0,33.3,1.0,1.0,100,4.0,4.0,100,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,-3.0,POR,Oct 27 2009
8,".A. Miller, .T. Outlaw, .L. Aldridge, .B. Roy, .R. Fernandez ",1,2.6,5.0,2.0,5.0,40.0,1.0,1.0,100,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,POR,Oct 27 2009
9,".J. Przybilla, .T. Outlaw, .S. Blake, .M. Webster, .B. Roy ",1,2.5,4.0,2.0,6.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,POR,Oct 27 2009
10,".T. Outlaw, .S. Blake, .B. Roy, .G. Oden, .R. Fernandez ",1,2.3,3.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,POR,Oct 27 2009
11,".J. Przybilla, .T. Outlaw, .S. Blake, .B. Roy, .R. Fernandez ",1,2.0,7.0,2.0,2.0,100,1.0,1.0,100,2.0,2.0,100,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,POR,Oct 27 2009
12,".A. Miller, .T. Outlaw, .B. Roy, .G. Oden, .R. Fernandez ",1,1.7,2.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,POR,Oct 27 2009
13,".A. Miller, .S. Blake, .L. Aldridge, .B. Roy, .G. Oden ",1,1.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-2.0,POR,Oct 27 2009
14,".A. Miller, .T. Outlaw, .M. Webster, .G. Oden, .R. Fernandez ",1,0.9,3.0,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,POR,Oct 27 2009
15,".A. Miller, .J. Przybilla, .L. Aldridge, .B. Roy, .R. Fernandez ",1,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-4.0,POR,Oct 27 2009
16,".A. Miller, .T. Outlaw, .M. Webster, .B. Roy, .G. Oden ",1,0.6,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,POR,Oct 27 2009
17,".A. Miller, .S. Blake, .M. Webster, .L. Aldridge, .G. Oden ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POR,Oct 27 2009
18,".T. Outlaw, .S. Blake, .M. Webster, .L. Aldridge, .B. Roy ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POR,Oct 27 2009
0,".S. O'Neal, .A. Parker, .L. James, .M. Williams, .J. Hickson ",1,15.4,37.0,16.0,29.0,55.2,1.0,2.0,50.0,4.0,7.0,57.1,7.0,10.0,17.0,11.0,5.0,2.0,2.0,3.0,3.0,8.0,5.0,CLE,Dec 30 2009
1,".A. Parker, .L. James, .M. Williams, .A. Varejao, .D. Gibson ",1,7.6,18.0,6.0,11.0,54.5,1.0,4.0,25.0,5.0,6.0,83.3,1.0,7.0,8.0,3.0,0.0,1.0,1.0,0.0,3.0,3.0,7.0,CLE,Dec 30 2009
2,".S. O'Neal, .M. Williams, .D. West, .A. Varejao, .J. Moon ",1,4.8,8.0,3.0,7.0,42.9,0.0,0.0,0.0,2.0,4.0,50.0,0.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,-2.0,CLE,Dec 30 2009
3,".Z. Ilgauskas, .A. Parker, .L. James, .M. Williams, .A. Varejao ",1,4.3,9.0,3.0,7.0,42.9,2.0,5.0,40.0,1.0,1.0,100,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,-5.0,CLE,Dec 30 2009
4,".L. James, .D. West, .A. Varejao, .J. Moon, .D. Gibson ",1,3.4,6.0,3.0,5.0,60.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,CLE,Dec 30 2009
5,".Z. Ilgauskas, .A. Parker, .L. James, .D. West, .A. Varejao ",1,3.3,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-4.0,CLE,Dec 30 2009
6,".Z. Ilgauskas, .L. James, .D. West, .A. Varejao, .J. Moon ",1,2.4,9.0,2.0,3.0,66.7,0.0,0.0,0.0,5.0,6.0,83.3,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,CLE,Dec 30 2009
7,".Z. Ilgauskas, .L. James, .D. West, .A. Varejao, .D. Gibson ",1,2.0,3.0,1.0,2.0,50.0,1.0,1.0,100,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,CLE,Dec 30 2009
8,".A. Parker, .L. James, .M. Williams, .A. Varejao, .J. Hickson ",1,1.6,4.0,1.0,3.0,33.3,1.0,2.0,50.0,1.0,1.0,100,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,CLE,Dec 30 2009
9,".Z. Ilgauskas, .L. James, .M. Williams, .A. Varejao, .J. Moon ",1,1.4,3.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-5.0,CLE,Dec 30 2009
10,".L. James, .M. Williams, .A. Varejao, .J. Moon, .D. Gibson ",1,0.7,3.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,CLE,Dec 30 2009
11,".A. Parker, .L. James, .M. Williams, .D. West, .A. Varejao ",1,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CLE,Dec 30 2009
12,".A. Parker, .L. James, .M. Williams, .A. Varejao, .J. Moon ",1,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,CLE,Dec 30 2009
13,".L. James, .D. West, .A. Varejao, .J. Moon, .J. Hickson ",1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,Dec 30 2009
14,".S. O'Neal, .L. James, .D. West, .A. Varejao, .J. Moon ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,Dec 30 2009
15,".S. O'Neal, .Z. Ilgauskas, .A. Parker, .L. James, .M. Williams ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,Dec 30 2009
0,".J. Kidd, .D. Nowitzki, .S. Marion, .B. Haywood, .C. Butler ",1,15.1,33.0,11.0,28.0,39.3,1.0,3.0,33.3,10.0,11.0,90.9,1.0,20.0,21.0,9.0,4.0,1.0,3.0,3.0,2.0,7.0,15.0,DAL,Feb 22 2010
