,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
11,".B. Knight, .C. Mobley, .Q. Ross, .J. Powell, .A. Thornton ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,Mar 31 2008
12,".C. Maggette, .S. Parker, .Q. Ross, .J. Powell, .A. Thornton ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,Mar 31 2008
13,".C. Mobley, .C. Maggette, .Q. Ross, .M. Williams, .N. Fazekas ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,Mar 31 2008
0,".B. Knight, .C. Mobley, .C. Maggette, .C. Kaman, .J. Powell ",1,16.2,27.0,10.0,28.0,35.7,1.0,2.0,50.0,6.0,8.0,75.0,7.0,9.0,16.0,5.0,2.0,1.0,0.0,4.0,3.0,5.0,-4.0,LAC,Mar 1 2008
1,".C. Mobley, .C. Maggette, .D. Dickau, .C. Kaman, .A. Thornton ",1,7.4,8.0,4.0,12.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,-6.0,LAC,Mar 1 2008
2,".B. Knight, .C. Maggette, .C. Kaman, .J. Powell, .A. Thornton ",1,4.7,11.0,4.0,7.0,57.1,0.0,0.0,0.0,3.0,5.0,60.0,2.0,4.0,6.0,3.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,LAC,Mar 1 2008
3,".Q. Ross, .J. Powell, .A. Barrett, .A. Thornton, .N. Fazekas ",1,4.7,2.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,100,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,-11.0,LAC,Mar 1 2008
4,".A. Williams, .B. Knight, .C. Mobley, .C. Maggette, .J. Powell ",1,2.2,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,25.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,5.0,-1.0,LAC,Mar 1 2008
5,".A. Williams, .D. Dickau, .Q. Ross, .J. Powell, .A. Thornton ",1,2.1,3.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,LAC,Mar 1 2008
6,".A. Williams, .B. Knight, .C. Maggette, .Q. Ross, .A. Thornton ",1,2.0,8.0,2.0,3.0,66.7,0.0,1.0,0.0,4.0,4.0,100,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,LAC,Mar 1 2008
