,TEAM,AWAY,GAMEDAY_FMT,SEASON_FMT,AWAYSCORE
2383,WAS,ORL,2009-03-13,2008.0,112.0
2384,WAS,SAC,2009-03-15,2008.0,104.0
2385,WAS,CHI,2009-03-23,2008.0,101.0
2386,WAS,CHA,2009-03-25,2008.0,93.0
2390,WAS,NYK,2009-01-16,2008.0,89.0
2391,WAS,PHX,2009-01-26,2008.0,103.0
2392,WAS,LAC,2009-01-31,2008.0,94.0
2393,WAS,MIL,2009-01-12,2008.0,97.0
2394,WAS,CHA,2009-01-10,2008.0,92.0
2395,WAS,CLE,2009-01-04,2008.0,77.0
2396,WAS,TOR,2009-01-07,2008.0,99.0
2398,WAS,NYK,2008-11-07,2008.0,114.0
2399,WAS,UTA,2008-11-12,2008.0,87.0
2400,WAS,ATL,2008-11-29,2008.0,102.0
2401,WAS,ORL,2008-11-27,2008.0,105.0
2402,WAS,GSW,2008-11-25,2008.0,100.0
2403,WAS,HOU,2008-11-21,2008.0,103.0
2404,WAS,MIA,2008-11-18,2008.0,94.0
2405,WAS,NJN,2009-02-04,2008.0,115.0
2407,WAS,MEM,2009-02-02,2008.0,113.0
2408,WAS,CHI,2009-02-27,2008.0,90.0
2414,WAS,DET,2009-03-28,2008.0,98.0
2415,WAS,OKC,2008-12-27,2008.0,95.0
2416,WAS,DAL,2008-12-21,2008.0,97.0
2417,WAS,PHI,2008-12-19,2008.0,109.0
2419,WAS,IND,2008-12-15,2008.0,118.0
2420,WAS,BOS,2008-12-11,2008.0,122.0
2423,WAS,DET,2008-12-09,2008.0,94.0
2424,WAS,LAL,2008-12-05,2008.0,106.0
2425,WAS,POR,2008-12-03,2008.0,98.0
2427,WAS,CLE,2009-04-02,2008.0,101.0
2428,WAS,MIA,2009-04-04,2008.0,118.0
2429,WAS,TOR,2009-04-13,2008.0,97.0
2430,WAS,NJN,2008-10-29,2008.0,95.0
2431,WAS,MIN,2009-02-17,2008.0,103.0
2432,WAS,SAS,2009-02-21,2008.0,98.0
2433,WAS,PHI,2009-02-25,2008.0,106.0
2434,WAS,IND,2009-02-08,2008.0,117.0
2443,TOR,SAS,2009-02-11,2008.0,89.0
2467,SAS,UTA,2009-04-10,2008.0,99.0
2468,SAS,POR,2009-04-08,2008.0,95.0
2469,SAS,GSW,2008-12-06,2008.0,88.0
2470,SAS,NJN,2009-01-23,2008.0,91.0
2471,BOS,SAS,2009-02-08,2008.0,105.0
2472,SAS,MEM,2008-12-27,2008.0,103.0
2473,SAS,ATL,2008-12-10,2008.0,89.0
2474,SAS,MIL,2008-12-30,2008.0,100.0
2475,SAS,LAL,2009-01-14,2008.0,111.0
2476,SAS,IND,2009-01-20,2008.0,81.0
2477,SAS,SAC,2008-12-22,2008.0,85.0
2478,SAS,TOR,2008-12-20,2008.0,97.0
2479,SAS,OKC,2008-12-14,2008.0,104.0
2480,SAS,MIN,2008-12-23,2008.0,93.0
2481,SAS,PHX,2008-10-29,2008.0,103.0
2482,SAS,LAC,2009-01-08,2008.0,84.0
2483,SAS,ORL,2009-01-11,2008.0,105.0
2484,SAS,DET,2008-12-02,2008.0,89.0
2485,SAS,PHI,2009-01-03,2008.0,106.0
2486,SAS,NOH,2009-01-31,2008.0,93.0
2599,ORL,SAS,2008-12-18,2008.0,78.0
2645,SAS,TOR,2009-11-09,2009.0,124.0
2673,SAS,GSW,2009-11-25,2009.0,104.0
2684,DEN,SAS,2010-04-10,2009.0,104.0
2688,MEM,SAS,2010-01-16,2009.0,86.0
2689,SAS,MIL,2009-11-23,2009.0,98.0
2696,SAS,DAL,2009-11-11,2009.0,83.0
2698,BOS,SAS,2010-03-28,2009.0,94.0
2702,SAS,PHI,2009-11-29,2009.0,89.0
2708,DET,SAS,2010-02-21,2009.0,101.0
2713,SAS,OKC,2009-11-14,2009.0,101.0
2721,SAS,UTA,2009-11-19,2009.0,90.0
2756,LAL,SAS,2010-04-04,2009.0,100.0
2777,LAL,SAS,2010-02-08,2009.0,89.0
2794,TOR,SAS,2010-01-03,2009.0,86.0
2818,SAS,SAC,2009-10-31,2009.0,94.0
2819,SAS,WAS,2009-11-21,2009.0,84.0
2835,MIA,SAS,2010-03-16,2009.0,88.0
2849,DEN,SAS,2010-02-11,2009.0,111.0
2854,NYK,SAS,2009-12-27,2009.0,95.0
2861,SAS,OKC,2010-02-24,2009.0,87.0
2863,SAS,PHX,2010-02-28,2009.0,110.0
2921,SAS,HOU,2010-03-31,2009.0,102.0
2923,SAS,UTA,2010-01-20,2009.0,105.0
2929,SAS,ATL,2010-01-27,2009.0,90.0
2931,SAS,HOU,2010-01-22,2009.0,116.0
2934,SAS,CHI,2010-01-25,2009.0,98.0
2935,SAS,MEM,2010-01-29,2009.0,97.0
2937,SAS,DEN,2010-01-31,2009.0,103.0
2940,SAS,LAC,2009-12-21,2009.0,87.0
2941,SAS,ORL,2010-04-02,2009.0,100.0
2955,SAS,DET,2010-01-06,2009.0,92.0
2956,SAS,DAL,2010-01-08,2009.0,112.0
2958,SAS,NJN,2010-01-10,2009.0,85.0
2960,SAS,LAL,2010-01-12,2009.0,85.0
2966,SAS,BOS,2009-12-03,2009.0,90.0
2968,SAS,NOH,2009-10-28,2009.0,96.0
2977,SAS,SAC,2009-12-09,2009.0,106.0
2978,SAS,PHX,2010-05-07,2009.0,110.0
2979,SAS,PHX,2010-05-09,2009.0,107.0
2980,SAS,DEN,2009-12-05,2009.0,106.0
2981,SAS,CHA,2009-12-11,2009.0,85.0
2982,SAS,DAL,2010-04-29,2009.0,87.0
2985,SAS,DAL,2010-04-25,2009.0,89.0
2989,SAS,LAL,2010-03-24,2009.0,92.0
2990,SAS,CLE,2010-03-26,2009.0,97.0
2991,SAS,NYK,2010-03-10,2009.0,87.0
2994,SAS,NOH,2010-03-05,2009.0,91.0
2995,SAS,LAC,2010-03-13,2009.0,88.0
2996,SAS,GSW,2010-03-19,2009.0,116.0
2999,SAS,DAL,2010-04-23,2009.0,90.0
3002,SAS,IND,2009-12-19,2009.0,99.0
3005,MEM,SAS,2010-03-06,2009.0,102.0
3008,SAS,MEM,2010-04-09,2009.0,107.0
3010,SAS,MIN,2010-04-12,2009.0,111.0
3014,SAS,MIA,2009-12-31,2009.0,78.0
3017,SAS,POR,2009-12-23,2009.0,98.0
3023,SAS,MIN,2009-12-29,2009.0,99.0
3053,WAS,PHI,2009-11-24,2009.0,107.0
3061,GSW,SAS,2009-12-16,2009.0,103.0
3075,WAS,CHA,2009-11-28,2009.0,92.0
3078,WAS,CLE,2009-11-18,2009.0,91.0
3089,UTA,SAS,2009-12-07,2009.0,101.0
3134,WAS,MIA,2009-11-04,2009.0,93.0
3138,HOU,SAS,2009-11-27,2009.0,92.0
3141,WAS,CHI,2010-04-02,2009.0,95.0
3142,WAS,NJN,2010-04-04,2009.0,99.0
3143,ATL,SAS,2010-03-21,2009.0,114.0
3144,WAS,GSW,2010-04-06,2009.0,94.0
3146,WAS,ATL,2010-04-10,2009.0,105.0
3149,WAS,IND,2010-04-14,2009.0,97.0
3153,WAS,SAS,2010-01-02,2009.0,97.0
3155,WAS,BOS,2010-02-01,2009.0,99.0
3156,WAS,MIN,2010-02-17,2009.0,99.0
3157,WAS,DEN,2010-02-19,2009.0,97.0
3161,WAS,MIL,2010-03-05,2009.0,102.0
3167,WAS,ATL,2010-03-11,2009.0,105.0
3168,WAS,ORL,2010-03-13,2009.0,109.0
3169,WAS,CHA,2010-03-23,2009.0,95.0
3170,WAS,UTA,2010-03-27,2009.0,103.0
3184,WAS,HOU,2010-03-09,2009.0,96.0
3187,WAS,CHI,2010-02-22,2009.0,95.0
3188,WAS,NYK,2010-02-26,2009.0,118.0
3189,WAS,PHI,2009-12-22,2009.0,98.0
3190,WAS,OKC,2009-12-29,2009.0,110.0
3193,HOU,SAS,2010-02-26,2009.0,104.0
3197,WAS,NJN,2009-10-31,2009.0,104.0
3199,WAS,IND,2009-12-12,2009.0,114.0
3200,WAS,MIL,2009-12-02,2009.0,102.0
3202,WAS,TOR,2009-12-04,2009.0,109.0
3203,WAS,BOS,2009-12-10,2009.0,104.0
3207,WAS,DET,2009-11-14,2009.0,106.0
3209,WAS,PHX,2009-11-08,2009.0,102.0
3213,WAS,MEM,2010-02-24,2009.0,99.0
3218,WAS,ORL,2010-01-08,2009.0,97.0
3219,WAS,NOH,2010-01-10,2009.0,115.0
3220,WAS,DET,2010-01-12,2009.0,99.0
3222,WAS,SAC,2010-01-16,2009.0,86.0
3223,WAS,POR,2010-01-18,2009.0,92.0
3226,WAS,DAL,2010-01-20,2009.0,94.0
3227,WAS,MIA,2010-01-22,2009.0,112.0
3229,WAS,LAC,2010-01-24,2009.0,92.0
3231,WAS,LAL,2010-01-26,2009.0,115.0
3234,WAS,NYK,2010-01-30,2009.0,96.0
3281,LAC,SAS,2009-12-13,2009.0,115.0
3288,CHI,SAS,2009-10-29,2009.0,85.0
3336,LAC,SAS,2010-02-06,2009.0,98.0
3339,OKC,SAS,2010-03-22,2009.0,99.0
3367,ORL,SAS,2010-03-17,2009.0,84.0
3386,UTA,SAS,2009-11-05,2009.0,99.0
3389,IND,SAS,2010-02-17,2009.0,90.0
3440,OKC,SAS,2010-01-13,2009.0,109.0
3494,NJN,SAS,2010-03-29,2009.0,84.0
3496,PHX,SAS,2009-12-15,2009.0,104.0
3520,DAL,SAS,2010-04-14,2009.0,89.0
3526,DAL,SAS,2010-04-21,2009.0,102.0
3559,POR,SAS,2010-02-04,2009.0,93.0
3575,DAL,SAS,2010-04-18,2009.0,94.0
3599,POR,SAS,2009-11-06,2009.0,84.0
3605,MIN,SAS,2010-03-12,2009.0,103.0
3692,CHA,SAS,2010-01-15,2009.0,76.0
3696,DAL,SAS,2010-04-27,2009.0,81.0
3738,SAC,SAS,2010-04-06,2009.0,95.0
3745,SAC,SAS,2010-02-03,2009.0,115.0
3761,PHX,SAS,2010-05-05,2009.0,102.0
3788,PHX,SAS,2010-04-07,2009.0,101.0
3801,NOH,SAS,2010-03-01,2009.0,106.0
3820,PHX,SAS,2010-05-03,2009.0,102.0
3827,CLE,SAS,2010-03-08,2009.0,95.0
3840,NOH,SAS,2010-01-18,2009.0,97.0
3855,PHI,SAS,2010-02-19,2009.0,94.0
3870,MIL,SAS,2009-12-26,2009.0,112.0
3932,DAL,SAS,2009-11-18,2009.0,94.0
3975,UTA,SAS,2010-11-19,2010.0,94.0
4003,OKC,SAS,2010-11-14,2010.0,117.0
4011,UTA,SAS,2011-01-26,2010.0,112.0
4020,LAC,SAS,2010-11-01,2010.0,97.0
4067,ORL,SAS,2010-12-23,2010.0,101.0
4084,WAS,CLE,2010-11-06,2010.0,107.0
4085,WAS,PHI,2010-11-02,2010.0,115.0
4102,PHI,SAS,2011-02-11,2010.0,71.0
4107,NOH,SAS,2011-01-22,2010.0,72.0
4113,WAS,DEN,2011-01-25,2010.0,120.0
4118,WAS,GSW,2011-03-02,2010.0,106.0
4122,WAS,BOS,2011-01-22,2010.0,83.0
4128,WAS,PHX,2011-01-21,2010.0,109.0
4129,HOU,SAS,2011-03-12,2010.0,115.0
4136,WAS,NOH,2011-01-01,2010.0,92.0
4143,WAS,MIL,2011-03-08,2010.0,95.0
4147,WAS,LAC,2011-03-12,2010.0,122.0
4148,GSW,SAS,2010-11-30,2010.0,118.0
4149,WAS,OKC,2011-03-14,2010.0,116.0
4156,WAS,MIA,2011-03-30,2010.0,123.0
4157,GSW,SAS,2011-01-24,2010.0,113.0
4165,WAS,NJN,2011-03-20,2010.0,92.0
4166,WAS,MIN,2011-03-05,2010.0,96.0
4167,WAS,GSW,2011-03-02,2010.0,106.0
4169,WAS,MIN,2011-03-05,2010.0,96.0
4170,WAS,HOU,2010-11-10,2010.0,91.0
4171,WAS,CHA,2010-11-12,2010.0,93.0
4172,WAS,UTA,2011-01-17,2010.0,101.0
4174,WAS,MIL,2011-03-08,2010.0,95.0
4175,WAS,TOR,2011-01-15,2010.0,95.0
4176,WAS,LAC,2011-03-12,2010.0,122.0
4177,WAS,OKC,2011-03-14,2010.0,116.0
4179,WAS,SAC,2011-01-11,2010.0,133.0
4183,WAS,NJN,2011-03-20,2010.0,92.0
4185,WAS,NJN,2011-01-07,2010.0,77.0
4186,WAS,ORL,2010-11-27,2010.0,100.0
4187,WAS,PHI,2010-11-23,2010.0,114.0
4188,WAS,MEM,2010-11-19,2010.0,86.0
4190,WAS,TOR,2010-11-16,2010.0,94.0
4191,WAS,MIA,2011-03-30,2010.0,123.0
4192,NOH,SAS,2010-11-28,2010.0,109.0
4199,HOU,SAS,2011-03-12,2010.0,115.0
4228,WAS,NYK,2010-12-10,2010.0,101.0
4229,WAS,LAL,2010-12-14,2010.0,103.0
4254,IND,SAS,2011-01-07,2010.0,90.0
4263,NJN,SAS,2011-02-14,2010.0,102.0
4265,WAS,POR,2010-12-03,2010.0,79.0
4266,WAS,DAL,2011-02-26,2010.0,105.0
4299,WAS,CHI,2011-02-28,2010.0,105.0
4304,WAS,IND,2010-12-29,2010.0,90.0
4305,WAS,MIA,2010-12-18,2010.0,95.0
4307,WAS,ATL,2011-02-05,2010.0,99.0
4308,WAS,MIL,2011-02-09,2010.0,85.0
4312,WAS,CHA,2010-12-20,2010.0,75.0
4314,WAS,ORL,2011-02-04,2010.0,110.0
4318,WAS,IND,2011-02-22,2010.0,113.0
4319,WAS,SAS,2011-02-12,2010.0,118.0
4328,WAS,CHI,2010-12-22,2010.0,87.0
4353,MEM,SAS,2011-03-01,2010.0,93.0
4354,SAS,HOU,2011-01-29,2010.0,95.0
4368,SAS,ORL,2010-11-22,2010.0,97.0
4370,SAS,DAL,2010-11-26,2010.0,103.0
4372,SAS,GSW,2011-03-21,2010.0,96.0
4373,SAS,CHI,2010-11-17,2010.0,94.0
4374,SAS,CLE,2010-11-20,2010.0,92.0
4375,SAS,CHA,2011-03-19,2010.0,98.0
4377,SAS,POR,2011-03-28,2010.0,100.0
4379,SAS,IND,2010-10-27,2010.0,109.0
4380,SAS,NOH,2010-10-30,2010.0,99.0
4381,SAS,HOU,2010-11-06,2010.0,121.0
4382,SAS,MIN,2011-01-09,2010.0,91.0
4397,MEM,SAS,2011-03-27,2010.0,104.0
4405,SAS,DEN,2010-12-22,2010.0,103.0
4406,SAS,DET,2011-03-09,2010.0,104.0
4410,SAS,SAC,2011-03-11,2010.0,103.0
4412,SAS,MEM,2010-12-18,2010.0,106.0
4415,SAS,OKC,2011-02-23,2010.0,105.0
4418,SAS,POR,2010-12-12,2010.0,78.0
4419,SAS,MEM,2011-02-27,2010.0,88.0
4424,SAS,GSW,2011-03-21,2010.0,96.0
4433,SAS,LAL,2011-03-06,2010.0,99.0
4438,SAS,NJN,2011-02-25,2010.0,96.0
4439,SAS,OKC,2011-01-01,2010.0,74.0
4441,SAS,LAL,2010-12-28,2010.0,82.0
4443,SAS,DET,2011-03-09,2010.0,104.0
4447,SAS,SAC,2011-03-11,2010.0,103.0
