,TEAM,AWAY,GAMEDAY_FMT,SEASON_FMT,AWAYSCORE,HOMESCORE,HOMEWIN,HOME_OFFRTG,AWAY_OFFRTG,HOME_DEFRTG,AWAY_DEFRTG
155,CHI,DET,2008-01-19,2007,81,97,1,14.583333333333336,27.225,16.085416666666667,24.45
156,BOS,ATL,2008-05-04,2007,65,99,1,9.287234042553193,6.81875,9.574468085106382,7.1
157,DEN,CLE,2007-11-12,2007,100,122,1,,,,
158,SAC,LAL,2008-03-04,2007,117,105,0,,,,
159,PHI,MEM,2008-02-13,2007,88,102,1,,,,
160,SAC,MIA,2008-03-02,2007,109,120,1,,,,
161,SAC,DAL,2008-01-14,2007,120,122,1,,,,
162,PHI,DAL,2008-02-11,2007,76,84,1,,,,
163,MIA,DEN,2008-02-12,2007,114,113,0,,,,
164,DEN,MEM,2008-03-12,2007,86,108,1,,,,
165,NOH,POR,2007-11-02,2007,93,113,1,,,,
166,DEN,HOU,2008-04-13,2007,94,111,1,17.542105263157893,18.131034482758622,18.449122807017538,17.27758620689655
167,SAC,POR,2008-03-13,2007,85,96,1,,,,
168,SAC,IND,2008-01-12,2007,111,105,0,,,,
169,PHI,ORL,2008-02-27,2007,89,101,1,15.166666666666664,26.793750000000006,18.227083333333333,24.262500000000006
170,BOS,ORL,2007-12-23,2007,91,103,1,,,,
171,SAC,MIN,2008-03-07,2007,111,103,0,16.15,13.027083333333335,14.516666666666666,11.45625
172,NOH,ORL,2007-11-19,2007,95,88,0,,,,
173,BOS,WAS,2007-11-02,2007,83,103,1,,,,
174,DEN,SEA,2008-03-16,2007,116,168,1,24.5625,13.344680851063831,19.200000000000006,23.131914893617026
175,BOS,CHI,2007-12-21,2007,82,107,1,,,,
176,DEN,UTA,2008-01-17,2007,109,120,1,,,,
177,BOS,ATL,2007-11-09,2007,83,106,1,,,,
178,MIA,IND,2008-01-26,2007,96,98,1,7.142857142857142,15.259574468085107,8.571428571428571,10.23936170212766
179,NOH,POR,2008-01-23,2007,81,96,1,19.385714285714286,10.833333333333332,10.985714285714288,17.333333333333332
180,PHI,POR,2007-11-16,2007,88,92,1,,,,
181,CLE,DAL,2007-10-31,2007,92,74,0,,,,
182,SAS,NOH,2008-01-26,2007,102,78,0,,,,
183,LAL,ATL,2008-02-19,2007,93,122,1,,,,
184,CLE,WAS,2008-04-21,2007,86,116,1,16.53473684210526,17.0,14.162105263157892,29.46100000000001
185,LAL,SAS,2008-05-29,2007,92,100,1,10.399468085106383,12.604166666666664,7.862765957446808,11.973958333333332
